smiles,mol,num_of_C_atoms,num_of_O_atoms,num_of_N_atoms,num_of_P_atoms,num_of_S_atoms
C[C@H]1[C@@H](NC(=O)[C@@H](C)Sc2ncn[nH]2)CCC[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18eb0>,13,1,4,0,1
COc1ccc([C@@H]([NH2+]Cc2ccc(Cl)nc2)c2ccc(F)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18f20>,20,1,2,0,0
COc1cc(NC(=O)[C@H](C)Sc2ccccc2Cl)cc(OC)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18f90>,17,3,1,0,1
CCN1CCC(=NNC(=O)c2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b19000>,14,1,3,0,0
CCCOc1ccc(Br)cc1C[NH+]1CCC([C@@H](C)O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b19070>,17,2,1,0,0
Cc1cc2n(C[C@H](O)CO[C@H](c3ccccc3)c3ccccc3C)c(=O)c3ccccc3n2n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b190e0>,28,3,3,0,0
CCc1ncc(CN(C)C(=O)Nc2c(C)ccc([N+](=O)[O-])c2C)s1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b19150>,16,3,4,0,1
c1ccc2nc(NCCCc3nc4ccccc4[nH]3)cnc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b19cb0>,18,0,5,0,0
Cc1c([C@H](C)[NH2+]Cc2cccn2C)cnn1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b19d20>,13,0,4,0,0
CC(=O)N[C@@H](C(=O)NC1COC1)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b19d90>,10,3,2,0,0
O=C(Nc1ccccc1F)c1cc2ccccc2c2cccnc12,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b19e00>,20,1,2,0,0
Cc1ccccc1N1C(=O)/C(=C/c2cccn2-c2cccc([N+](=O)[O-])c2)C([O-])=NC1=S,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b19e70>,22,4,4,0,1
COCCN1C[C@H](C(=O)N(Cc2cccc(Cl)c2)C(C)C)CC1=O,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b19ee0>,18,3,2,0,0
COc1ccc(NC(=O)N2CCN(C(=O)Cc3csc4ccccc34)CC2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b19f50>,23,4,3,0,1
C#CCN(C[C@H]1CCCO1)C(=O)N[C@@H](C)c1cccc([N+](=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18c80>,17,4,3,0,0
Cc1cccc(C2=CCN(C(=O)Nc3ccc(C(N)=O)c(Cl)c3)CC2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b0d0>,20,2,3,0,0
COCCCN1C(=O)c2ccc(C(=O)Nc3nc(-c4ccc(C)cc4)cs3)cc2C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1bf40>,23,4,3,0,1
O=S(=O)(Nc1ccc(N2CCCS2(=O)=O)cc1)c1ccc(F)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1bed0>,15,4,2,0,2
O=C1/C(=C/c2ccccc2)Oc2c1ccc1c2CN(Cc2cccs2)CO1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1be60>,22,3,1,0,1
CC[C@@H](C)[C@@H](NC(=O)c1cccc(F)c1)C(=O)N=c1[nH]c2ccccc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1bdf0>,20,2,4,0,0
Cc1c(F)cc(N)cc1S(=O)(=O)N[C@@H](C)C1CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1bd80>,12,2,2,0,1
Cc1ccc(Cn2ncc3c(N)ncnc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1bd10>,13,0,5,0,0
CCOC(=O)C(C)(C)c1nc(-c2ccccc2)no1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1bca0>,14,3,2,0,0
CCOC(=O)c1sc(/C=C/c2nc3c(s2)CCC3)nc1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1bc30>,15,2,2,0,2
C[C@@H]1CC[C@@H]([NH2+]C2CCC(NS(C)(=O)=O)CC2)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1bbc0>,18,2,2,0,1
CN(C)S(=O)(=O)c1ccc(C(=O)N(C(=O)N2CCCCC2)c2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1bb50>,21,4,3,0,1
CC[NH2+][C@@H](CC)c1ccccc1OCc1cccc(F)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1bae0>,18,1,1,0,0
C=CCOC(=O)C1=C(C)N=C2S[C@H](C)C(=O)N2[C@H]1c1ccc(F)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1ba70>,18,3,2,0,1
CCC[NH2+][C@]1(C(=O)OCC)CC[C@H](n2cc(Cl)c(C)n2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1ba00>,15,2,3,0,0
Cc1cc(NC(=O)CSc2nnc3c4ccccc4n(C)c3n2)ccc1Br,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b990>,19,1,5,0,1
CCOC(=O)c1sc(NC(=O)c2ccc(-n3c(C)nc4ccccc4c3=O)cc2)cc1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b920>,24,4,3,0,1
CC#CCC(=O)C1([NH+](CC)CC)CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b8b0>,14,1,1,0,0
O=C(NCCCc1ccccc1)C1CCN(C(=O)[C@@H]2CC(=O)N(c3ccccc3)C2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b840>,26,3,3,0,0
O=Cc1ccc(OCc2ccn(-c3cccc(F)c3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b7d0>,17,2,2,0,0
Clc1ccccc1Cn1ccnc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b760>,10,0,2,0,0
Cc1[nH]c(=O)c(C(=O)N2CCN(c3ccccc3)C(=O)C2)c(C)c1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b6f0>,19,3,3,0,0
C[C@@H](NC(=O)NC[C@H]1CCCN(c2ncccn2)C1)C1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b680>,18,2,5,0,0
O=C(NCCS(=O)(=O)c1ccccc1)N1CCC[C@@H]2CCC[C@@H]21,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b610>,17,3,2,0,1
Cc1ccc(-c2cc(NC(=O)C(C)C)c(=O)n(CC(=O)Nc3cccc(C)c3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b5a0>,24,3,4,0,0
Cc1ccc(S(=O)(=O)N2CCN(C(=O)[C@H]3CCCC[C@@H]3C(=O)[O-])CC2)cc1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b530>,20,5,2,0,1
CCc1ccc(-c2nc(C(=O)N3CCO[C@H](CC)C3)cs2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b4c0>,18,2,2,0,1
Cc1cc(C)cc(OCC(C)(C)C[NH2+]C2CC2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b450>,16,1,1,0,0
CCOC(=O)[C@H](F)[C@@]1(O)CCC[NH+](C(C)C)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b3e0>,13,3,1,0,0
CCn1cc(/C=C/C(=O)c2ccc3ccccc3c2)cn1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b370>,18,1,2,0,0
CCC(CC)C(=O)Nc1cnn(-c2ccccc2F)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b300>,15,1,3,0,0
O=C1O[C@H](C(=O)Nc2ccnc3ccnn23)Cc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b290>,16,3,4,0,0
COCCn1nnnc1[C@@H](C(C)C)N1CCSCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b220>,12,1,5,0,1
O=C(NCCNS(=O)(=O)c1cccc(Cl)c1F)c1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b1b0>,14,3,3,0,1
Cc1ccc(CNC(=O)NCc2nnc3n2CCC3)s1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1b140>,13,1,5,0,1
C/C=C/C[C@]1(C(=O)[O-])CCN(C(=O)OC(C)(C)C)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18040>,14,4,1,0,0
O=C(N[C@@H](CO)c1ccco1)c1cc(Cl)ccc1OC1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b180b0>,18,4,1,0,0
Cc1cc(N(C)C)ccc1NC(=O)c1c[nH]c2nccc(Cl)c12,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18120>,17,1,4,0,0
CCOC(=O)c1cccc(NC(=O)c2cn[nH]c2C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18190>,14,3,3,0,0
CCC(CC)[S@](=O)CCC(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18200>,8,3,0,0,1
COCc1ccc(C(=O)N(C)Cc2ccc(Cl)s2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18270>,15,2,1,0,1
O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1cc(Cl)c(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b182e0>,17,2,3,0,0
CC[C@@H](C)NC(=O)c1ccc2c(c1)CCCN2S(C)(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18350>,15,3,2,0,1
COc1ccc(C)cc1-n1nnnc1SCC(=O)Nc1cc(C)cc(C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b183c0>,19,2,5,0,1
C[C@H](NC(=O)Cc1ccc[nH]1)C(=O)N1CCCC[C@H]1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18430>,15,2,3,0,0
CCOC(=O)[C@H]1CCCN(C(=O)c2cc(C(C)C)n(C)n2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b184a0>,16,3,3,0,0
C[C@H]([NH2+]Cc1nc(Cc2ccccc2)no1)[C@@H](C)n1cccn1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18510>,17,1,5,0,0
c1cc(CN2CC[NH+](Cc3ccc4c(c3)OCCO4)CC2)no1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18580>,17,3,3,0,0
CCCCNC(=O)CCc1c(C)nc2c3ccccc3nn2c1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b185f0>,19,1,4,0,0
O=C(C[C@@H]1C[NH2+]CCO1)N[C@H]1C=CS(=O)(=O)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18660>,10,4,2,0,1
C[C@@H]1CCO[C@@H]1C(=O)N1CC[C@H](C(N)=O)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b186d0>,16,3,2,0,0
CCC[NH2+][C@H](Cc1nn(C)c2ccccc12)c1ncc[nH]1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18740>,16,0,5,0,0
CC(C)c1noc(-c2cc[nH+]c(N3CCN(C(=O)[C@H]4C[C@H]4C)CC3)c2)n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b187b0>,19,2,5,0,0
O=C(NCc1cccnc1)NCc1ccnc(OCC(F)F)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18820>,15,2,4,0,0
C[C@@H](NC(=O)N1CCCCCCC1)[C@@H]1CCCO1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18890>,14,2,2,0,0
COc1ccc([C@H]2C(C(=O)NCc3ccccc3)=C(C)Nc3ncnn32)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18900>,22,3,5,0,0
Cc1cc(=O)n2c(n1)SC[C@@H]2CC(=O)NCCC(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18970>,14,2,3,0,1
CC(C)C1=CN=N[C@H]1[C@H]1CCC[NH+](C[C@@H](C)Cc2ccc3c(c2)OCO3)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b189e0>,22,2,3,0,0
COc1cc(CNC(=O)c2occc2Br)ccn1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18a50>,12,3,2,0,0
Cc1cccc(COc2ccc(Br)cc2/C=C2\SC(=S)NC2=O)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18ac0>,18,2,1,0,2
O=C(N[C@@H]1CCO[C@@H]1c1ccc(Cl)c(F)c1)[C@H]1Cc2ccccc2O1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b19bd0>,19,3,1,0,0
Cc1ccc([C@]2([NH3+])CC[C@@H]2C)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1aa40>,12,0,1,0,0
O=C(CNC(=O)c1ccco1)OCC(=O)c1ccc2ccccc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b197e0>,19,5,1,0,0
O=C(c1cc2c(F)cccc2[nH]1)N(C[C@@H]1CCCO1)c1ccncc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18c10>,19,2,3,0,0
Cc1cc(C)c(NC(=O)c2cc3ccccc3n2C)c(C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1af10>,19,1,2,0,0
CSc1ccccc1NC(=O)N[C@@H](CO)c1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18dd0>,16,2,2,0,1
Cc1cc(Br)ccc1CNC(=O)C1CC=CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b1ae30>,14,1,1,0,0
COc1ccc(CN/C(C)=C2/C(=O)N(c3ccc(OC)cc3)N=C2C)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b19c40>,21,3,3,0,0
O=C(COC(=O)C1(c2ccccc2F)CCCC1)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c6b18cf0>,18,4,1,0,0
CC1(C)C(=O)NCC[NH+]1Cc1ccc(OCC(F)F)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50da810>,15,2,2,0,0
Cc1ccc([N+](=O)[O-])cc1C(=O)Nc1ccc(C(=O)NC(C)C)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dbf40>,18,4,3,0,0
C[C@@H]([C@@H](O)c1ccc2ncnn2c1)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f09c50dbed0>,9,3,4,0,0
C[C@H](Oc1ccc(Cl)c(Cl)c1)C(=O)NC[C@H]1CCC[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dbe60>,15,3,1,0,0
COC[C@H]1CCC[NH+](Cc2cc(C)n(Cc3ccco3)c2C)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dbdf0>,19,2,2,0,0
Cc1ccc([C@H](C)NC(=O)CN(C)C(=O)OC(C)(C)C)cc1F,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dbd80>,17,3,2,0,0
CC(=O)NCCC(=O)N1CCC[C@@H](C)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dbd10>,11,2,2,0,0
COc1ccc(N2CCn3c2nn(CC(N)=O)c(=O)c3=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dbca0>,14,4,5,0,0
ClC(Cl)(Cl)c1nonc1C(Cl)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dbc30>,4,1,2,0,0
CCc1sc(C(=O)N2CCN([C@@H](C(N)=O)c3ccccc3)CC2)cc1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dbbc0>,20,2,3,0,1
C[NH+](C)Cc1cc(NC(=O)CCCC(=O)N2CCCCCC2)[nH]n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dbb50>,17,2,5,0,0
C[C@@H](Nc1ccc(COC(C)(C)C)cc1)c1ccc(C#N)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dbae0>,20,1,2,0,0
NC(=O)c1ccc(NC(=O)c2cccn(Cc3ccc(F)cc3)c2=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dba70>,20,3,3,0,0
Cc1cc(C(=O)N2CC[C@H](C)C[C@H]2C)c2c(C)nn(C)c2n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dba00>,17,1,4,0,0
Cc1c(C(=O)N2CCCC2)oc2c1-c1nn(CC(=O)N3C[C@H](C)C[C@H](C)C3)cc1CC2,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db990>,24,3,4,0,0
Cc1cc(C)cc(NC(=O)CC(C)C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db920>,13,1,1,0,0
COc1cc(OC)cc([C@H]2CC[NH+](CCC(F)(F)F)C2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db8b0>,15,2,1,0,0
CCn1ccnc(N2CCCC[C@@H](N3CC[NH+](C)CC3)C2)c1=O,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db840>,17,1,5,0,0
C[C@@H]1CCC[C@](O)(c2ccc(Cl)s2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db7d0>,12,1,0,0,1
CCOC(=O)C[C@H](C)CNC(=O)C(=O)N1CCc2ccc(C)cc21,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db760>,18,4,2,0,0
COc1ccccc1C[NH+]1CCC[C@H](N2CCCC2=O)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db6f0>,17,2,2,0,0
CCNc1ccc2c(OC)ccc(F)c2n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db680>,12,1,2,0,0
Oc1ccc(C2[NH+](Cc3ccccc3)CC[NH+]2Cc2ccccc2)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db610>,23,2,2,0,0
Fc1ccc([C@@H]2C[C@@H](c3ccc(Br)cc3)Nc3ncnn32)cc1Br,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db5a0>,17,0,4,0,0
COc1ccc(O)c(CNC2CC[NH+](Cc3ccccc3Cl)CC2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db530>,20,2,2,0,0
Cc1ccc(NCc2cccc(C(=O)NCc3ccco3)c2)c(F)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db4c0>,20,2,2,0,0
Cc1c(C(=O)N(C)[C@@H]2CCN(c3ccccc3Cl)C2=O)cnn1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db450>,17,2,4,0,0
Cc1nc(C(C)(C)C)[nH]c(=O)c1C(=O)Nc1cccc(Cl)c1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db3e0>,17,2,3,0,0
CCOC(=O)[C@H]1CCCN(C(=O)c2cn(CCc3ccccc3)nn2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db370>,19,3,4,0,0
C[C@@H]1[C@H](C(=O)[O-])CCN1S(=O)(=O)c1ccc(F)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db300>,12,4,1,0,1
CC1CCC(OC(=O)C2=NC3=C(C(=O)C[C@@H](c4ccccc4)C3)[C@H]2C)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db290>,23,3,1,0,0
CN(Cc1ccno1)Cc1c(C(=O)N2CC[NH+](C3CCCCC3)CC2)nc2ccccn12,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db220>,24,2,6,0,0
Cc1cc(F)c([C@@H]([NH3+])[C@H]2Cc3ccccc3O2)cc1F,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db1b0>,16,1,1,0,0
COc1ccc(OCC(=O)N/N=C2\CCCc3ccccc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db140>,19,3,2,0,0
CC(C)[NH+]1CCC(N2CC[NH+](Cc3c(F)ccc(F)c3F)C[C@@H]2CCO)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db0d0>,21,1,3,0,0
CC[NH2+][C@@H](C)c1cc(F)c(C)cc1N1C[C@@H](C)S[C@@H](C)C1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50db060>,17,0,2,0,1
CC(C)c1nsc(NC[C@H](C2CC2)[NH+](C)C)n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50daff0>,12,0,4,0,1
Cc1ccc(-c2nc(C[NH+]3CCCC[C@H]3c3cccnc3)c(C)o2)s1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50daf80>,20,1,3,0,1
COc1cccc(C2=C[C@H](C(=O)N3CCCCC3)N=N2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50daf10>,16,2,3,0,0
O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1cc(S(=O)(=O)NC2CC2)ccc1Br,<rdkit.Chem.rdchem.Mol object at 0x7f09c50daea0>,17,4,4,0,1
c1ccc2c(c1)CC[C@H]([C@H]1CCCc3cccnc31)N2,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dae30>,18,0,2,0,0
Cc1ccc(NC(=S)NC(C)C)cc1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dadc0>,12,0,2,0,1
C[C@@H](Nc1ccc2c(c1)CCC2)C(=O)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dad50>,16,1,2,0,0
CCOc1ccc(Nc2ccc(C#N)c([N+](=O)[O-])c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dace0>,15,3,3,0,0
CC(C)OC(=O)CCNC(=O)c1cnn(-c2ccc(F)cc2)n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dac70>,15,3,4,0,0
CCCCOc1ccccc1NC(=O)c1scnc1C1CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dac00>,17,2,2,0,1
O=C1N=C(N2CCCCC2)S/C1=C1/C(=O)Nc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dab90>,16,2,3,0,1
Cc1c([C@H](C)NC(=O)c2[nH]c3ccccc3c2Cl)cnn1C,<rdkit.Chem.rdchem.Mol object at 0x7f09c50dab20>,16,1,4,0,0
CSc1cccc2sc(N3CCN(C(=O)c4ccn(C(C)C)n4)CC3)nc12,<rdkit.Chem.rdchem.Mol object at 0x7f09c50daab0>,19,1,5,0,2
Cc1ccc(C)c2nc3sc(C(=O)Nc4ccc5c(c4)OCO5)c(N)c3cc12,<rdkit.Chem.rdchem.Mol object at 0x7f09c50daa40>,21,3,3,0,1
COC(=O)CCN(Cc1cnc2ncccn12)C1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50da9d0>,16,3,4,0,0
O=C(c1c[nH]c2ccc(F)cc12)N(CC1CC1)CC(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f09c50d98c0>,15,1,2,0,0
O=C(Cc1ccc(Cl)cc1)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(Cl)ccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f09c50d99a0>,19,3,2,0,2
Cc1cccc(C)c1NC(=O)C[NH+]1CCC(OCc2ccc(F)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50d9a10>,22,2,2,0,0
C[C@@H]1CCC[C@H](C)N1C(=O)[C@@H]1COCCO1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50d9a80>,12,3,1,0,0
CC(C)[C@@H](C)CC(=O)NNC(=S)NC1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50d9af0>,14,1,3,0,1
Cc1cccc(NC(=O)CN2C(=O)/C(=C3\SC(=S)N(Cc4ccco4)C3=O)c3ccccc32)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50d9b60>,25,4,3,0,2
CC(=O)N[C@@H]1C(=O)C[C@@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,<rdkit.Chem.rdchem.Mol object at 0x7f09c50d9bd0>,21,3,1,0,0
CCCNC(=O)[C@H]1CS[C@H](c2ccccc2O)N1C(C)=O,<rdkit.Chem.rdchem.Mol object at 0x7f09c50d9c40>,15,3,2,0,1
Cc1ccc(N2CC[C@H](C(=O)NC[C@@H](CC(C)C)N3CCOCC3)C2=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c50d9cb0>,22,3,3,0,0
COc1ccc(NC(=O)CCc2ccc3c(c2)OCCO3)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7f09c50d9d20>,19,5,1,0,0
Cc1ccc(C(F)(F)F)cc1/C=C/C(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f09c50d9d90>,11,2,0,0,0
Cc1ccccc1C(=O)Nc1ccc(N2CC[NH+](Cc3ccccc3)CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abba00>,25,1,3,0,0
c1cc(C[NH2+]Cc2ccco2)cc(OC2CCCC2)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abb990>,17,2,1,0,0
O=C(c1cccs1)N(Cc1ccc(F)cc1)Cc1cc(-c2ccccc2)cn2nnnc12,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abb920>,24,1,5,0,1
COc1ccccc1CC(=O)N[C@@H]1CS(=O)(=O)C[C@H]1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abb8b0>,13,4,1,0,1
c1cc(-c2nc3c4cn[nH]c4ncn3n2)ccc1COc1ccc2c(c1)CCC2,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abb840>,22,1,6,0,0
CN(C(=O)c1ccc(Cl)cc1O)C1CCC(=O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abb7d0>,14,3,1,0,0
CNC(=O)CNS(=O)(=O)c1cccc(C(F)(F)F)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abb760>,10,3,2,0,1
Cc1ccc(S(=O)(=O)N2C[C@@H](CC(=O)[O-])c3ccccc32)c(C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abb6f0>,18,4,1,0,1
Cc1cc(N)nc(SCC(=O)NC[C@@H](c2ccccc2)C(C)C)n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abb680>,18,1,4,0,1
Cn1cc(C(N)=O)c(NC(=O)c2ccc3sccc3c2)n1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abb610>,14,2,4,0,1
COc1cc2c(cc1O)[C@H](c1cnc(-c3cccc(C)c3)nc1)CC(=O)N2,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abb5a0>,21,3,3,0,0
CC(=O)Nc1ccc(O[C@H](C)c2nc(C(C)(C)C)no2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abb530>,16,3,3,0,0
O=C(c1c(-c2ccccc2)nc2sc3c(n12)CCCC3)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abb4c0>,17,1,2,0,1
CC(C)CNC(=O)NC(=O)[C@@H](C)Nc1ccc(OC(C)C)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f09c4abb450>,17,3,3,0,0
